movie_title,wiki_summary
"Cannonball Run, The (1981)","The Cannonball Run is a 1981 American action-comedy film directed by Hal Needham, produced by Hong Kong's Golden Harvest films, and distributed by 20th Century-Fox."
Cape Fear (1991),Cape Fear is a 1991 American psychological thriller film directed by Martin Scorsese.
Capote (2005),"Capote is a 2005 American biographical drama film about American novelist Truman Capote directed by Bennett Miller, and starring Philip Seymour Hoffman in the title role."
Captain America (1979),"Captain America is a 1979 American made-for-television superhero film loosely based on the Marvel Comics character of the same name, directed by Rod Holcomb and starring Reb Brown."
Captain America (1990),Captain America is a 1990 American superhero film based on the Marvel Comics superhero of the same name.
Captain America II: Death Too Soon (1979),"Captain America II: Death Too Soon is a 1979 American made-for-television superhero film based on the Marvel Comics character Captain America, directed by Ivan Nagy and starring Reb Brown."
Captain America: Civil War (2016),"Captain America: Civil War is a 2016 American superhero film based on the Marvel Comics character Captain America, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures."
Captain America: The First Avenger (2011),Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America.
Captain America: The Winter Soldier (2014),"Captain America: The Winter Soldier is a 2014 American superhero film based on the Marvel Comics character Captain America, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures."
Captain Blood (1935),Captain Blood is a 1935 American black-and-white swashbuckling pirate film from First National Pictures and Warner Bros.
Captain Corelli's Mandolin (2001),Captain Corelli's Mandolin is a 2001 war film directed by John Madden.
Captain Fantastic (2016),"Captain Fantastic is a 2016 American comedy-drama film written and directed by Matt Ross and starring Viggo Mortensen, Frank Langella, Kathryn Hahn, and Steve Zahn."
Captain Horatio Hornblower R.N. (1951),"Captain Horatio Hornblower (known as Captain Horatio Hornblower R.N. in the UK, ""R.N."" standing for ""Royal Navy"") is a 1951 British naval swashbuckling war film in Technicolor from Warner Bros., produced by Gerry Mitchell, directed by Raoul Walsh, that stars Gregory Peck, Virginia Mayo, Robert Beatty and Terence Morgan."
"Captain Newman, M.D. (1963)","Captain Newman, M.D. is a 1963 American comedy drama film directed by David Miller and starring Gregory Peck, Tony Curtis, Angie Dickinson, Robert Duvall, Eddie Albert and Bobby Darin."
Captain Phillips (2013),Captain Phillips is a 2013 American biographical action-thriller film directed by Paul Greengrass.
Captain Ron (1992),"Captain Ron is a 1992 American comedy film directed by Thom Eberhardt, produced by David Permut, and co-written by John Dwyer and Thom Eberhardt for Touchstone Pictures."
Captain Underpants: The First Epic Movie (2017),"Captain Underpants: The First Epic Movie is a 2017 American animated superhero comedy film based on Dav Pilkey's children's novel series Captain Underpants, produced by DreamWorks Animation and distributed by 20th Century Fox."
Captains Courageous (1937),"Captains Courageous is a 1937 American adventure drama film starring Freddie Bartholomew, Spencer Tracy, Lionel Barrymore and Melvyn Douglas."
"Captive, The (2014)",The Captive is a 2014 Canadian thriller film directed by Atom Egoyan with a script he co-wrote with David Fraser.
Capturing the Friedmans (2003),Capturing the Friedmans is a 2003 HBO documentary film directed by Andrew Jarecki.
Car Wash (1976),Car Wash is a 1976 American comedy film released by Universal Pictures.
"Carabineers, The (Carabiniers, Les) (1963)",The Carabineers (French: Les Carabiniers; 1963) was the fifth narrative feature film by French filmmaker Jean-Luc Godard.
Carandiru (2003),Carandiru is a 2003 Brazilian drama film directed by Héctor Babenco.
Care Bears Movie II: A New Generation (1986),Care Bears Movie II: A New Generation is a 1986 animated musical fantasy film produced by LBS Communications and Nelvana.
"Care Bears Movie, The (1985)",The Care Bears Movie is a 1985 animated musical fantasy film directed by Arna Selznick from a screenplay by Peter Sauder.
Career Girls (1997),"Career Girls is a 1997 British comedy-drama film written and directed by Mike Leigh which tells the story of two women, who reunite after six years apart."
Career Opportunities (1991),Career Opportunities is a 1991 American romantic comedy film starring Frank Whaley in his first lead role and co-starring Jennifer Connelly.
Careful What You Wish For (2015),"Careful What You Wish For is a 2015 American erotic thriller film directed by Elizabeth Allen Rosenbaum, and starring Nick Jonas, Isabel Lucas, Graham Rogers, and Dermot Mulroney."
Cargo (2009),"Cargo is a 2009 science fiction film, the first from Swiss production and the first major feature film by Ivan Engler and Ralph Etter."
Carlito's Way (1993),"Carlito's Way is a 1993 American crime drama film directed by Brian De Palma and written by David Koepp, based on the novels Carlito's Way (1975) and After Hours (1979) by Judge Edwin Torres."
Carnage (2011),"Carnage is a 2011 black comedy film directed by Roman Polanski, based on the Tony Award-winning 2006 play Le Dieu du carnage by French playwright Yasmina Reza."
Carnal Knowledge (1971),Carnal Knowledge is a 1971 American comedy-drama film directed by Mike Nichols and written by Jules Feiffer.
Carnival Magic (1981),Carnival Magic is a 1983 American film directed by Al Adamson and starring Don Stewart.
Carnival of Souls (1962),"Carnival of Souls is a 1962 American psychological horror film produced and directed by Herk Harvey and written by John Clifford from a story by Clifford and Harvey, and starring Candace Hilligoss."
Carnosaur (1993),Carnosaur is a 1993 American science fiction horror film written and directed by Adam Simon.
Carnosaur 2 (1995),"Carnosaur 2 is a 1995 action horror film directed by Louis Morneau, and the sequel to the 1993 film Carnosaur."
Carnosaur 3: Primal Species (1996),Carnosaur 3: Primal Species is a 1996 direct-to-video science fiction horror film.
Carol (2015),Carol is a 2015  historical romance film directed by Todd Haynes.
Carpool (1996),"Carpool is a 1996 American comedy film directed by Arthur Hiller, written by Don Rhymer, starring Tom Arnold and David Paymer."
Carrie (1976),"Carrie is a 1976 American supernatural horror film directed by Brian De Palma from a screenplay written by Lawrence D. Cohen, adapted from Stephen King's 1974 epistolary novel of the same name."
Carrie (2013),Carrie is a 2013 American supernatural horror film directed by Kimberly Peirce.
Carry on Cabby (1963),"Carry On Cabby is a 1963 British comedy film, the seventh in the series of 31 Carry On films (1958–1992)."
Carry on Cruising (1962),"Carry On Cruising is a 1962 British comedy film, the sixth in the series of 31 Carry On films (1958–1992)."
Cars (2006),Cars is a 2006 American animated sports comedy film produced by Pixar Animation Studios for Walt Disney Pictures.
Cars 2 (2011),Cars 2 is a 2011 American animated spy comedy film produced by Pixar Animation Studios for Walt Disney Pictures.
Cars 3 (2017),Cars 3 is a 2017 American animated sports comedy-adventure film produced by Pixar Animation Studios for Walt Disney Pictures.
Casablanca (1942),"Casablanca is a 1942 American romantic drama film directed by Michael Curtiz and starring Humphrey Bogart, Ingrid Bergman, and Paul Henreid."
Case 39 (2009),"Case 39 is a 2009 American supernatural horror film directed by Christian Alvart, and starring Renée Zellweger, Jodelle Ferland, Bradley Cooper, and Ian McShane."
Cashback (2004),Cashback is a 2006 British romantic comedy-drama film written and directed by Sean Ellis.
Cashback (2006),Cashback is a 2006 British romantic comedy-drama film written and directed by Sean Ellis.
Casino (1995),"Casino is a 1995 epic crime drama film directed by Martin Scorsese, adapted by Scorsese and Nicholas Pileggi from the latter's nonfiction book Casino: Love and Honor in Las Vegas."
Casino Jack (2010),Casino Jack (released in certain territories as Bagman) is a 2010 biographical crime drama directed by George Hickenlooper and starring Kevin Spacey.
Casino Royale (1967),Casino Royale is a 1967 spy parody film originally distributed by Columbia Pictures featuring an ensemble cast.
Casino Royale (2006),"Casino Royale is a 2006 spy film, the twenty-first in the Eon Productions James Bond series, and the third screen adaptation of Ian Fleming's 1953 novel of the same name."
Casper (1995),"Casper is a 1995 American supernatural fantasy comedy film directed by Brad Silberling, in his feature film directorial debut, based on the Harvey Comics cartoon character Casper the Friendly Ghost created by Seymour Reit and Joe Oriolo."
Casper Meets Wendy (1998),Casper Meets Wendy is a 1998 American fantasy comedy film based on the Harvey Comics cartoon characters Casper the Friendly Ghost and Wendy the Good Little Witch.
Cassandra's Dream (2007),Cassandra's Dream is a 2007 crime thriller drama film written and directed by Woody Allen.
Casshern (2004),"Casshern (キャシャーン, Kyashān) is a 2004 Japanese tokusatsu superhero film adaptation of the anime series of the same name, written, directed, shot and edited by Kazuaki Kiriya."
Cast Away (2000),"Cast Away is a 2000 American survival drama film directed and produced by Robert Zemeckis and starring Tom Hanks, Helen Hunt, and Nick Searcy."
Castaway on the Moon (Kimssi pyoryugi) (2009),Castaway on the Moon (Korean: 김씨 표류기; RR: Kimssi Pyoryugi; lit.
Castle Freak (1995),Castle Freak is a 1995 American direct-to-video horror film directed by Stuart Gordon.
"Castle, The (1997)","The Castle is a 1997 Australian comedy film directed by Rob Sitch, and written by Sitch, Santo Cilauro, Tom Gleisner and Jane Kennedy of Working Dog Productions, all veteran writers and performers on ABC's The Late Show and The D-Generation."
Casualties of War (1989),"Casualties of War is a 1989 American war drama film directed by Brian De Palma and written by David Rabe, based primarily on an article written by Daniel Lang for The New Yorker in 1969, which was later published as a book."
Cat Ballou (1965),"Cat Ballou is a 1965 American western comedy film starring Jane Fonda and Lee Marvin, who won an Academy Award for Best Actor for his dual role."
Cat People (1942),Cat People is a 1942 American supernatural horror film directed by Jacques Tourneur and produced for RKO by Val Lewton.
Cat People (1982),"Cat People is a 1982 American supernatural horror film directed by Paul Schrader and starring Nastassja Kinski, Malcolm McDowell, John Heard, and Annette O'Toole."
"Cat Returns, The (Neko no ongaeshi) (2002)","The Cat Returns (Japanese: 猫の恩返し, Hepburn: Neko no Ongaeshi, lit. 'The Cat's Repayment') is a 2002 Japanese anime fantasy film directed by Hiroyuki Morita from a screenplay by Reiko Yoshida, based on the 2002 manga series of the same name by Aoi Hiiragi."
Cat Soup (Nekojiru-so) (2001),"Cat Soup (ねこぢる草, Nekojiru-sō, lit."
"Cat from Outer Space, The (1978)","The Cat from Outer Space is a 1978 American science fiction comedy film directed by Norman Tokar (his final film before his death the following year) starring Ken Berry, Sandy Duncan, Harry Morgan, Ronnie Schell, Roddy McDowall and McLean Stevenson."
"Cat in the Hat, The (2003)",The Cat in the Hat (also known as Dr.
"Cat o' Nine Tails, The (Gatto a nove code, Il) (1971)","The Cat o' Nine Tails (Italian: Il gatto a nove code) is a 1971 English-language Italian film directed by Dario Argento, adapted from a story by Dardano Sacchetti, Luigi Cozzi, and an uncredited Bryan Edgar Wallace."
Cat on a Hot Tin Roof (1958),"Cat on a Hot Tin Roof is a 1958 American drama film directed by Richard Brooks, who co-wrote the screenplay with James Poe, based on the 1955 Pulitzer Prize-winning play of the same name by Tennessee Williams."
Cat's Eye (1985),Cat's Eye (also known as Stephen King's Cat's Eye) is a 1985 American anthology horror thriller film directed by Lewis Teague and written by Stephen King.
"Cat's Meow, The (2002)","The Cat's Meow is a 2001 historical drama film directed by Peter Bogdanovich, and starring Kirsten Dunst, Eddie Izzard, Edward Herrmann, Cary Elwes, Joanna Lumley, Jennifer Tilly, and Ronan Vibert."
Catch .44 (2011),"Catch .44 is a 2011 American crime thriller film written and directed by Aaron Harvey and starring Forest Whitaker, Bruce Willis, Malin Åkerman, Nikki Reed, Deborah Ann Woll, and Brad Dourif."
Catch Me If You Can (2002),"Catch Me If You Can is a 2002 American biographical crime comedy-drama film directed and produced by Steven Spielberg and starring Leonardo DiCaprio and Tom Hanks with Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, and James Brolin in supporting roles."
Catch That Kid (2004),"Catch That Kid is a 2004 family action comedy film directed by Bart Freundlich, written by Michael Brandt and Derek Haas, and starring Kristen Stewart, Corbin Bleu, Max Thieriot, Jennifer Beals, Sam Robards, John Carroll Lynch, and James Le Gros."
Catch a Fire (2006),Catch a Fire is a 2006 biographical thriller film about activists against apartheid in South Africa.
Catch and Release (2006),"Catch and Release is a 2007 American romantic comedy film written and directed by Susannah Grant, her only film as director thus far, and starring Jennifer Garner, Timothy Olyphant, Kevin Smith, Sam Jaeger and Juliette Lewis."
Catfish (2010),Catfish is a 2010 film directed by Henry Joost and Ariel Schulman.
Cats (1998),"Cats is a 1998 British direct-to-video musical film based on the 1981 stage musical of the same name by Andrew Lloyd Webber, itself based on Old Possum's Book of Practical Cats (1939) by T. S. Eliot."
Catwoman (2004),"Catwoman is a 2004 American superhero film directed by Pitof and written by John Rogers, John Brancato and Michael Ferris from a story by Theresa Rebeck, Brancato and Ferris, with music by Klaus Badelt."
Cave of Forgotten Dreams (2010),"Cave of Forgotten Dreams is a 2010 3D documentary film by Werner Herzog about the Chauvet Cave in Southern France, which contains some of the oldest human-painted images yet discovered—some of them were crafted around 32,000 years ago."
Caveman (1981),"Caveman is a 1981 slapstick comedy film written and directed by Carl Gottlieb and starring Ringo Starr, Dennis Quaid, Shelley Long and Barbara Bach."
"Caveman's Valentine, The (2001)",The Caveman's Valentine is a 2001 American mystery-drama film directed by Kasi Lemmons and starring Samuel L. Jackson based on George Dawes Green's 1994 novel of the same name.
Cecil B. DeMented (2000),Cecil B. Demented is a 2000 black comedy film written and directed by John Waters.
Cedar Rapids (2011),Cedar Rapids is a 2011 American comedy film directed by Miguel Arteta.
"Celebration, The (Festen) (1998)",The Celebration (Danish: Festen) is a 1998 Danish black comedy-drama film directed by Thomas Vinterberg and produced by Nimbus Film.
Celebrity (1998),"Celebrity is a 1998 American comedy-drama film written and directed by Woody Allen, and features an ensemble cast."
Cell 211 (Celda 211) (2009),Cell 211 (Spanish: Celda 211) is a 2009 Spanish-French prison film directed by Daniel Monzón from a screenplay by Monzón and Jorge Guerricaechevarría and based on the 2003 novel of the same name by Francisco Pérez Gandul.
"Cell, The (2000)","The Cell is a 2000 science fiction psychological thriller film directed by Tarsem Singh in his directorial debut, and starring Jennifer Lopez, Vince Vaughn, and Vincent D'Onofrio."
Cellular (2004),Cellular is a 2004 American action thriller film directed by David R. Ellis.
"Celluloid Closet, The (1995)","The Celluloid Closet is a 1996 American documentary film directed and co-written by Rob Epstein and Jeffrey Friedman, and executive produced by Howard Rosenman."
Celtic Pride (1996),"Celtic Pride is a 1996 American sports comedy film written by Judd Apatow and Colin Quinn, and directed by Tom DeCerchio."
"Cement Garden, The (1993)",The Cement Garden is a 1993 British drama film written and directed by Andrew Birkin.
Cemetery Junction (2010),Cemetery Junction is a 2010 British coming-of-age comedy-drama film written and directed by Ricky Gervais and Stephen Merchant.
Cemetery Man (Dellamorte Dellamore) (1994),"Cemetery Man (Italian: Dellamorte Dellamore) is a 1994 comedy horror film directed by Michele Soavi and starring Rupert Everett, François Hadji-Lazaro and Anna Falchi."
Center Stage (2000),Center Stage is a 2000 American teen drama film directed by Nicholas Hytner about a group of young ballet dancers from various backgrounds who enroll at the fictitious American Ballet Academy in New York City.
"Center of the World, The (2001)",The original World Trade Center (WTC) was a large complex of seven buildings in the Financial District of Lower Manhattan in New York City.
Central Intelligence (2016),"Central Intelligence is a 2016 American buddy action comedy film directed by Rawson Marshall Thurber and written by Thurber, Ike Barinholtz and David Stassen."
Central Station (Central do Brasil) (1998),"Central Station (Portuguese: Central do Brasil) is a 1998 road drama film directed by Walter Salles and starring Fernanda Montenegro, Marília Pêra and Vinícius de Oliveira."
"Century of the Self, The (2002)",The Century of the Self is a 2002 British television documentary series by filmmaker Adam Curtis.
"Cercle Rouge, Le (Red Circle, The) (1970)","Le Cercle Rouge (French pronunciation: [lə sɛʁkl ʁuʒ], ""The Red Circle"") is a 1970 crime film set mostly in Paris."
Certified Copy (Copie conforme) (2010),Certified Copy (French: Copie conforme) is a 2010 art film written and directed by Abbas Kiarostami.
Cesar Chavez (2014),"Cesar Chavez is a 2014 biographical film produced and directed by Diego Luna about the life of American labor leader Cesar Chavez, who cofounded the United Farm Workers."
Chain Reaction (1996),"Chain Reaction is a 1996 American science fiction action thriller film directed by Andrew Davis and starring Keanu Reeves, Morgan Freeman, Rachel Weisz, Fred Ward, Kevin Dunn and Brian Cox."
Chain of Fools (2000),Chain of Fools is a 2001 American heist comedy film directed by Swedish production collective Traktor.
Chairman of the Board (1998),"Chairman of the Board is a 1998 American comedy film directed by Alex Zamm, and starring Carrot Top in his only lead role in a feature-length film."
Chalet Girl (2011),Chalet Girl is a 2011 romantic comedy sports film directed by Phil Traill.
"Chamber, The (1996)",The Chamber is a 1996 American legal thriller film directed by James Foley.
"Champ, The (1979)",The Champ is a 1979 American neo noir drama sports film directed by Franco Zeffirelli and a remake of the 1931 Academy Award-winning film of the same name directed by King Vidor.
Chances Are (1989),"Chances Are is a 1989 American romantic comedy film directed by Emile Ardolino and starring Cybill Shepherd, Robert Downey Jr., Ryan O'Neal, and Mary Stuart Masterson in Panavision."
"Change-Up, The (2011)","The Change-Up is a 2011 American fantasy romantic comedy produced and directed by David Dobkin, and written by Jon Lucas and Scott Moore."
Changeling (2008),"Changeling is a 2008 American mystery crime drama film directed, produced, and scored by Clint Eastwood and written by J. Michael Straczynski."
"Changeling, The (1980)","The Changeling is a 1980 Canadian supernatural horror film directed by Peter Medak and starring George C. Scott, Trish Van Devere, and Melvyn Douglas."
Changing Lanes (2002),Changing Lanes is a 2002 American drama thriller film directed by Roger Michell and starring Ben Affleck and Samuel L. Jackson.
Chaos Theory (2007),Chaos theory is an interdisciplinary area of scientific study and branch of mathematics.
Chapayev (1934),"Chapaev (Russian: Чапаев, IPA: [tɕɪˈpaɪf]) is a 1934 Soviet biographical war film, directed by the Vasilyev brothers for Lenfilm."
Chaplin (1992),Chaplin is a 1992 biographical comedy-drama film about the life of English comic actor and filmmaker Charlie Chaplin.
Chappie (2015),Chappie (stylized as CHAPPiE) is a 2015 American dystopian science fiction action film directed by Neill Blomkamp and written by Blomkamp and Terri Tatchell.
Character (Karakter) (1997),"Character (Dutch: Karakter) is a 1997 Dutch-Belgian film, based on the best-selling novel by Ferdinand Bordewijk and directed by Mike van Diem."
Charade (1963),"Charade is a 1963 American romantic comedy mystery film produced and directed by Stanley Donen, written by Peter Stone and Marc Behm, and starring Cary Grant and Audrey Hepburn."
Chariots of Fire (1981),"Chariots of Fire is a 1981 musical score by Greek electronic composer Vangelis (credited as Vangelis Papathanassiou) for the British film Chariots of Fire, which won four Academy Awards including Best Picture and Original Music Score."
Charley Varrick (1973),"Charley Varrick (a.k.a.The Last of the Independents and Kill Charley Varrick) is a 1973 American neo-noir crime film directed by Don Siegel and starring Walter Matthau, Andrew Robinson, Joe Don Baker and John Vernon."
Charlie Bartlett (2007),Charlie Bartlett is a 2007 American coming-of-age comedy-drama film directed by Jon Poll.
"Charlie Brown Christmas, A (1965)",A Charlie Brown Christmas is a 1965 animated television special.
Charlie Countryman (2013),"Charlie Countryman (originally titled The Necessary Death of Charlie Countryman as well as Kill Charlie Countryman) is a 2013 romantic drama film directed by Fredrik Bond in his directorial debut, written by Matt Drake, and starring Shia LaBeouf, Evan Rachel Wood and Mads Mikkelsen."
Charlie Wilson's War (2007),"Charlie Wilson's War is a 2007 American biographical comedy-drama film based on the story of U.S. Congressman Charlie Wilson and CIA operative Gust Avrakotos, whose efforts led to Operation Cyclone, a program to organize and support the Afghan mujahideen during the Soviet–Afghan War (1979–1989)."
Charlie and the Chocolate Factory (2005),"Charlie and the Chocolate Factory is a 2005 musical fantasy film directed by Tim Burton and written by John August, based on the 1964 British novel of the same name by Roald Dahl."
"Charlie, the Lonesome Cougar (1967)","Charlie, the Lonesome Cougar is a 1967 American adventure drama film produced by Walt Disney Productions and directed by Winston Hibler."
Charlotte Gray (2001),Charlotte Gray is a 2001 drama film directed by Gillian Armstrong.
Charlotte's Web (1973),Charlotte's Web is a 1973 American animated musical drama film based on the 1952 children's book of the same name by E. B. White.
Charlotte's Web (2006),Charlotte's Web is a 2006 fantasy comedy-drama film based on the 1952 novel of the same name by E. B. White.
Charly (1968),Charly (marketed and stylized as CHAЯLY) is a 1968 American science fiction drama film directed and produced by Ralph Nelson and written by Stirling Silliphant.
"Chase, The (1994)",The Chase is a 1994 American action comedy film written and directed by Adam Rifkin and starring Charlie Sheen and Kristy Swanson.
"Chaser, The (Chugyeogja) (2008)",The Chaser (Korean: 추격자) is a 2008 South Korean action thriller film starring Kim Yoon-seok and Ha Jung-woo.
Chasers (1994),Chasers is a 1994 American comedy film directed by Dennis Hopper.
Chasing Amy (1997),"Chasing Amy is a 1997 American romantic comedy-drama film written and directed by Kevin Smith and starring Ben Affleck, Joey Lauren Adams, and Jason Lee."
Chasing Liberty (2004),Chasing Liberty is a 2004 romantic comedy film directed by Andy Cadiff and starring Mandy Moore and Matthew Goode.
Chasing Papi (a.k.a. Papi Chulo) (2003),This is a list of notable events in music that took place in the year 2003.
Chasuke's Journey (2015),"Chasuke's Journey (天の茶助, Ten no Chasuke) is a 2015 Japanese comedy film directed by Sabu."
Che: Part One (2008),"Che is a two-part 2008 biographical film about the Argentine Marxist revolutionary Ernesto ""Che"" Guevara, directed by Steven Soderbergh."
"Cheap Detective, The (1978)",The Cheap Detective is a 1978 American mystery comedy film written by Neil Simon and directed by Robert Moore.
Cheaper by the Dozen (1950),Cheaper by the Dozen is a 1950 American comedy film based upon the autobiographical book Cheaper by the Dozen (1948) by Frank Bunker Gilbreth Jr.
Cheaper by the Dozen (2003),Cheaper by the Dozen is a 2003 American comedy film directed by Shawn Levy.
Cheaper by the Dozen 2 (2005),Cheaper by the Dozen 2 is a 2005 American family comedy film directed by Adam Shankman.
Cheburashka (1971),Cheburashka (Russian: Чебурашка) is a 1971 Soviet animated film directed by Roman Kachanov.
Cheech and Chong's Up in Smoke (1978),"Up in Smoke (also referred to as Cheech & Chong's Up in Smoke) is a 1978 American comedy film directed by Lou Adler and starring Cheech Marin, Tommy Chong, Tom Skerritt, Edie Adams, Strother Martin and Stacy Keach."
Chef (2014),"Chef is a 2014 American road comedy-drama film directed, written, co-produced by, and starring  Jon Favreau as a celebrity chef who, after a public altercation with a food critic, loses his job at a popular Los Angeles restaurant and begins to operate a food truck with his young son."
Cherish (2002),Cherish is a 2002 American comedy-drama film written and directed by Finn Taylor.
Cherry 2000 (1987),"Cherry 2000 is a 1988 American science-fiction film directed by Steve De Jarnatt and starring David Andrews, Melanie Griffith, Tim Thomerson and Pamela Gidley."
Cherrybomb (2009),Cherrybomb is a 2009 British drama film directed by Lisa Barros D'Sa and Glenn Leyburn.
Chi-Raq (2015),"Chi-Raq () is a 2015 American musical crime comedy drama film, directed and produced by Spike Lee and co-written by Lee and Kevin Willmott."
Chicago (2002),Chicago is a 2002 American musical crime comedy film based on the 1975 stage musical of the same name which in turn originated in the 1926 play of the same name.
Chicken Little (2005),Chicken Little is a 2005 American animated science fiction comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.
Chicken Run (2000),Chicken Run is a 2000 animated adventure comedy film produced by Pathé and Aardman Animations in partnership with DreamWorks Animation.
Child's Play (1988),"Child's Play is a 1988 American supernatural slasher film directed by Tom Holland, from a screenplay he co-wrote with Don Mancini and John Lafia, and a story by Mancini."
Child's Play 2 (1990),"Child's Play 2 is a 1990 American supernatural slasher film and the direct sequel to Child's Play, written by Don Mancini and directed by John Lafia, one of the co-writers of the first film."
Child's Play 3 (1991),Child's Play 3 is a 1991 American slasher film and the third installment in the Child's Play film series.
"Children Are Watching Us, The (Bambini ci guardano, I) (1944)","The year 1944 in film involved some significant events, including the wholesome, award-winning Going My Way plus popular murder mysteries such as Double Indemnity, Gaslight and Laura."
Children of Dune (2003),"Dune Messiah is a 1969 science fiction novel by American writer Frank Herbert, the second in his Dune series of six novels."
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)","Children of Heaven (Persian: بچه‌های آسمان, romanized: Bæccähâ-ye âsmân) is a 1997 Iranian family drama film written and directed by Majid Majidi."
"Children of Huang Shi, The (2008)","The Children of Huang Shi (Chinese: 黄石的孩子; working title: The Bitter Sea, also known as Escape from Huang Shi and Children of the Silk Road) is a 2008 historical war drama film directed by Roger Spottiswoode, and starring Jonathan Rhys Meyers, Radha Mitchell, Chow Yun-fat, Michelle Yeoh and David Wenham."
Children of Men (2006),Children of Men is a 2006 dystopian action thriller film directed and co-written by Alfonso Cuarón.
Children of a Lesser God (1986),Children of a Lesser God is a 1986 American romantic drama film directed by Randa Haines from a screenplay written by Hesper Anderson and Mark Medoff and based on Medoff's  1979 play of the same name.
Children of the Corn II: The Final Sacrifice (1993),Children of the Corn II: The Final Sacrifice is a 1992 American supernatural slasher film and the sequel to the 1984 film Children of the Corn.
Children of the Corn III (1994),"Children of the Corn is an American film series that began with Children of the Corn, released in 1984 by New World Pictures."
Children of the Corn IV: The Gathering (1996),"Children of the Corn IV: The Gathering is a 1996 American supernatural slasher film co-written and directed by Greg Spence and starring Naomi Watts, Brent Jennings, and Karen Black."
Children of the Damned (1963),"The Damned (U.S. title: These Are the Damned) is a 1961 British science fiction horror film directed by Joseph Losey and starring Macdonald Carey, Shirley Anne Field, Viveca Lindfors and Oliver Reed."
Children of the Night (1991),"Children of the Night is a 1991 American horror film directed by Tony Randel, and starring Karen Black, Peter DeLuise, and Ami Dolenz."
Children of the Revolution (1996),"Children of the Revolution is a 1996 Australian black comedy film, depicting Joseph Stalin and his son's somewhat deterministic path into The Revolution in modern-day Australia."
"Children, The (2008)","The Children is a 2008 British horror thriller film set around the New Year holiday directed by Tom Shankland, based on a story by Paul Andrew Williams and starring Eva Birthistle and Hannah Tointon."
Chill Factor (1999),Chill Factor is a 1999 American buddy action comedy thriller film directed by cinematographer Hugh Johnson (in his only directorial effort) and starring Cuba Gooding Jr.
China Blue (2005),China Blue is a 2005 documentary film directed by Micha Peled.
"China Syndrome, The (1979)","The China Syndrome is a 1979 American disaster thriller film directed by James Bridges and written by Bridges, Mike Gray, and T.S. Cook."
Chinatown (1974),Chinatown is a 1974 American neo-noir mystery film directed by Roman Polanski from a screenplay by Robert Towne.
Chinese Box (1997),"Chinese Box is a 1997 movie directed by Wayne Wang and starring Jeremy Irons, Gong Li, Maggie Cheung and Michael Hui."
Chinese Puzzle (Casse-tête chinois) (2013),Chinese Puzzle (French: Casse-tête chinois) is a 2013 romantic comedy-drama film written and directed by Cédric Klapisch.
Chitty Chitty Bang Bang (1968),"Chitty-Chitty-Bang-Bang: The Magical Car is a children's novel written by Ian Fleming for his son Caspar, with illustrations by John Burningham."
Chocolat (1988),Chocolat is a 1988 French period drama film written and directed by Claire Denis (in her directorial debut) that follows a young girl who lives with her family in French Cameroon.
Choke (2008),Choke is a 2008 American black comedy film written and directed by Clark Gregg.
Chopper Chicks in Zombietown (1989),Chopper Chicks In Zombietown (formerly known as Chrome Hearts and Cycle Sluts Vs.
Chopping Mall (a.k.a. Killbots) (1986),"Jim Wynorski is an American screenwriter, director, and producer."
"Chorus Line, A (1985)","A Chorus Line is a 1985 American musical film directed by Richard Attenborough, and starring Michael Douglas and Terrence Mann."
"Chorus, The (Choristes, Les) (2004)","The Chorus (French: Les Choristes, literally ""The Choristers"" or ""The Choirboys"") is a 2004 French musical drama film directed by Christophe Barratier."
Chouchou (2003),Chouchou is a 2003 French comedy film about a cross-dressing Maghrebi man who settles in Paris to find his nephew.
Chris Rock: Bigger & Blacker (1999),"Bigger & Blacker is a television special that premiered on HBO on July 10, 1999, starring comedian Chris Rock."
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo) (1981),"Drug films are films that depict either illicit drug distribution or drug use, whether as a major theme, such as by centering the film around drug subculture or by depicting it in a few memorable scenes."
"Christmas Carol, A (1938)","A Christmas Carol is a 1938 American drama film adaptation of Charles Dickens's 1843 novella of the same name, starring Reginald Owen as Ebenezer Scrooge, an elderly miser who learns the error of his ways on Christmas Eve after visitations by three spirits."
"Christmas Carol, A (1977)",Mickey's Christmas Carol is a 1983 American animated Christmas fantasy featurette  directed and produced by Burny Mattinson.
"Christmas Carol, A (2009)","Disney's A Christmas Carol (or simply A Christmas Carol) is a 2009 American animated Christmas film produced, written for the screen and directed by Robert Zemeckis."
"Christmas Carol, A (Scrooge) (1951)",Scrooge (released as A Christmas Carol in the United States) is a 1951 British Christmas fantasy drama film and an adaptation of Charles Dickens's A Christmas Carol (1843).
